#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          12       0.0000000008271476   3.7007996637296162e-33   5.4567309016826526e-33   1.9126751524481998e-24   3.8323945426798427e-23   1.3952485833017867e-32   2.1811130126532082e-24   6.1247725148679051e-24   3.2940018124435624e-24   2.5590485987521286e-24   1.6073145388911801e-25   1.2412989391489681e-26   5.1486380678674177e-28   3.2702775379804294e-30   1.8662916287664676e-31   1.2319651025822726e-32   6.9135547625721069e-33   4.2342013891995643e-33   5.4592739545247867e-33   5.5132233186515482e-33
          13       0.0000000009204708   3.6995828895116853e-33   5.4571325414942049e-33   1.8565290882896771e-24   3.8099877306763870e-23   1.3473823970631781e-32   2.7632998316801036e-24   5.0023817376290585e-24   3.2705250169151451e-24   3.3029293392033073e-24   2.5341903567280239e-25   2.3379546665555729e-26   1.1883965820326841e-27   8.7226986946358801e-30   6.5030897216410174e-31   3.7621333227386341e-32   7.7344879502845671e-33   4.0276461811330329e-33   5.4622066756757905e-33   5.5465449748390922e-33
          14       0.0000000010184603   3.6983655753668390e-33   5.4575530230047733e-33   1.8006566569590864e-24   3.7934124396233250e-23   1.3003825304094646e-32   3.3408421061991294e-24   3.9250736641938909e-24   3.1083806821096396e-24   4.0537176975784581e-24   3.7282592678646400e-25   3.9977251626039475e-26   2.4535406835916407e-27   2.0106597813174268e-29   1.9343532941925971e-30   1.3091548938356460e-31   1.0737112157665874e-32   3.8900221635274359e-33   5.4671422968072191e-33   5.6626721022135176e-33
          15       0.0000000011213492   3.6970146057481221e-33   5.4579933640134418e-33   1.7445724117363260e-24   3.7809648510636406e-23   1.2545638989401925e-32   3.8714657224311230e-24   2.9633674818459169e-24   2.8404167662347200e-24   4.7688749455300664e-24   5.1706466188906154e-25   6.2784259108106994e-26   4.5953453201007531e-27   4.0758071792691011e-29   4.9579794361646356e-30   4.1804959823382395e-31   2.2285074016927651e-32   3.8171101317870677e-33   5.4754807626013144e-33   6.0986952214694563e-33
          16       0.0000000012293825   3.6956973512100075e-33   5.4584546406654989e-33   1.6872847128267590e-24   3.7714464873390914e-23   1.2100208702764143e-32   4.3220441342330653e-24   2.1629726064148901e-24   2.5066303189257072e-24   5.4136723752430566e-24   6.8141086658031954e-25   9.1379840150121256e-26   7.8907582722313477e-27   7.3701929974414999e-29   1.1105740175676053e-29   1.1690750036869175e-30   6.1199404873941682e-32   3.7874351058314953e-33   5.4907366935192794e-33   7.5552041461027969e-33
          17       0.0000000013428175   3.6942770516611025e-33   5.4589379882214292e-33   1.6285761213977892e-24   3.7640933406903585e-23   1.1670458068460056e-32   4.6743820934226217e-24   1.5404786590385976e-24   2.1471805472284082e-24   5.9658644219649513e-24   8.5881141791757502e-25   1.2418890321521979e-25   1.2525791601366436e-26   1.2036687609571591e-28   2.2030755673222889e-29   2.8631698586099777e-30   1.7374656124598122e-31   3.7798479173793374e-33   5.5236857717206945e-33   1.1756546977771639e-32
          18       0.0000000014619243   3.6927117101283636e-33   5.4594446067135988e-33   1.5696436702941301e-24   3.7583681640367917e-23   1.1258217984010785e-32   4.9262455129811745e-24   1.0869800783185030e-24   1.7961679244993281e-24   6.4175166644165204e-24   1.0408976809963994e-24   1.5872567705032212e-25   1.8515239918820201e-26   1.7964279651608384e-28   3.9188461252627502e-29   6.2020909959139206e-30   4.5575207732536191e-31   3.7827230558942432e-33   5.6064084473408770e-33   2.2283897979260136e-32
          19       0.0000000015869864   3.6911189062487790e-33   5.4599757629080008e-33   1.5127278180958781e-24   3.7539277932372461e-23   1.0863447915446011e-32   5.0882200147540513e-24   7.7561649904781549e-25   1.4775407253568288e-24   6.7735446593006767e-24   1.2192523570080472e-24   1.9221817884614748e-25   2.5665433102470274e-26   2.4798123551106117e-28   6.3282999662984976e-29   1.2026678578444598e-29   1.0765563474205646e-30   3.7925105949830142e-33   5.8231304167263277e-33   4.5493349254108024e-32
          20       0.0000000017183016   3.6894267317243743e-33   5.4605327943265778e-33   1.4604938657173107e-24   3.7504828258227348e-23   1.0486546954251342e-32   5.1780997502800851e-24   5.7222451807095128e-25   1.2042788518775060e-24   7.0475423977785823e-24   1.3865897480881252e-24   2.2236445355151074e-25   3.3605952065938063e-26   3.2061025312002817e-28   9.3946769285780244e-29   2.1143286050379617e-29   2.2954928774878135e-30   3.8091476476987599e-33   6.3653578536872939e-33   9.1181351590000263e-32
          21       0.0000000018561825   3.6876182641591009e-33   5.4611171122403426e-33   1.4151753476186053e-24   3.7478354455591859e-23   1.0126761149756518e-32   5.2153291932985083e-24   4.4332021927644914e-25   9.7996785397479254e-25   7.2567791885795881e-24   1.5376050078643350e-24   2.4787429815086420e-25   4.1880294781445053e-26   3.9314088180423846e-28   1.2985811466953347e-28   3.4132011121281618e-29   4.4634338337681738e-30   3.8331184911033657e-33   7.6131084732575200e-33   1.7272318806448111e-31
