#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
          53       0.0000000107182344   3.5425614363097235e-33   5.4987640346912043e-33   1.4726167111930743e-24   3.5609241275293960e-23   4.5933414241644814e-33   3.8657393104878427e-24   1.4852452633027085e-25   2.0544266614176791e-25   9.1589777106316630e-24   3.4604944765554463e-24   7.8322531398324308e-25   3.1191906229926245e-25   3.6555146479371174e-27   2.4350699257925646e-27   1.7307855617512577e-27   2.8745040170178357e-27   1.1475316592032588e-32   1.9718692730011933e-29   1.2618160064927890e-28
          54       0.0000000110638305   3.5365521569940312e-33   5.5002426885182638e-33   1.4723172730343545e-24   3.5549619533435688e-23   4.5678441374071578e-33   3.8470091902406530e-24   1.4855489571095610e-25   2.0106835406701947e-25   9.1730104057873495e-24   3.5121355330075128e-24   8.0292702776642834e-25   3.2490069742316673e-25   3.8250927688991634e-27   2.5774807852281949e-27   1.8447144149310406e-27   3.0729238442241517e-27   1.2298823454116820e-32   2.0809478429520374e-29   1.3462126877678497e-28
          55       0.0000000114104598   3.5305572105263747e-33   5.5017267375467213e-33   1.4715506007393552e-24   3.5490099059001614e-23   4.5442524289768836e-33   3.8299394807855990e-24   1.4887001266496077e-25   1.9718577882766558e-25   9.1855261652449591e-24   3.5630898676026456e-24   8.2258864700859898e-25   3.3808102328099545e-25   3.9979279019308969e-27   2.7250015645184739e-27   1.9648946724092880e-27   3.2785081757314630e-27   1.3207517849987143e-32   2.1852346277470891e-29   1.4327837106359674e-28
          56       0.0000000117581087   3.5245383654883665e-33   5.5032161362238876e-33   1.4703302761859684e-24   3.5430631635156382e-23   4.5225439686373735e-33   3.8145092249307506e-24   1.4937969001135106e-25   1.9372543161887805e-25   9.1967163471970016e-24   3.6133913073492389e-24   8.4221098749590475e-25   3.5144860643428559e-25   4.1738830910276228e-27   2.8775826059645679e-27   2.0914892313888421e-27   3.4913821226392759e-27   1.4209556907617447e-32   2.2839217095261506e-29   1.5214946207554346e-28
          57       0.0000000121066871   3.5185244042455732e-33   5.5047105110800818e-33   1.4686752618043428e-24   3.5371163409858650e-23   4.5022767407616954e-33   3.8006994001489662e-24   1.5001436282479839e-25   1.9063244563526639e-25   9.2067495861578886e-24   3.6630630518146629e-24   8.6179076163035727e-25   3.6498917582569273e-25   4.3527784923722022e-27   3.0351272828058956e-27   2.2246148520198472e-27   3.7116251351021630e-27   1.5313456888762322e-32   2.3761973152261538e-29   1.6122936668032363e-28
          58       0.0000000124562170   3.5125183665838764e-33   5.5062099670393917e-33   1.4666028717309322e-24   3.5311643978152823e-23   4.4832116772108789e-33   3.7884736077638121e-24   1.5072701319190494e-25   1.8784025716657061e-25   9.2157726737115287e-24   3.7121462439157918e-24   8.8133345669421530e-25   3.7869327584045465e-25   4.5345060136655883e-27   3.1975782309177316e-27   2.3644118650411949e-27   3.9393874267012227e-27   1.6528706289086410e-32   2.4612994508124128e-29   1.7051602840355545e-28
          59       0.0000000128067307   3.5065128082709371e-33   5.5077146540080606e-33   1.4641284658259827e-24   3.5252029862344468e-23   4.4652080716064019e-33   3.7777917866256460e-24   1.5147062020227661e-25   1.8529516195716820e-25   9.2239163264170988e-24   3.7606829989762991e-24   9.0084499639219883e-25   3.9255242828234723e-25   4.7189645628988643e-27   3.3648762104633942e-27   2.5110106140519192e-27   4.1748307657289235e-27   1.7865518848552668e-32   2.5384851612422280e-29   1.8000800911304680e-28
          60       0.0000000131582079   3.5005162356535964e-33   5.5092244962439502e-33   1.4612640122388865e-24   3.5192310943049395e-23   4.4480514034483937e-33   3.7686076975461571e-24   1.5219604629621701e-25   1.8295420035431886e-25   9.2312891491128834e-24   3.8087065209517856e-24   9.2032901398903113e-25   4.0655672898035254e-25   4.9060404248219977e-27   3.5369324102455733e-27   2.6645061078017642e-27   4.4180860264926577e-27   1.9334651050526912e-32   2.6070189329106463e-29   1.8970280086932207e-28
          61       0.0000000135103290   3.4945117801385424e-33   5.5107381300197508e-33   1.4580249709443320e-24   3.5132532966874408e-23   4.4317776860206225e-33   3.7608774304578909e-24   1.5286406205517837e-25   1.8077952767722576e-25   9.2379789628827309e-24   3.8562088136992308e-24   9.3977268965648093e-25   4.2068483918401542e-25   5.0954610690098166e-27   3.7135009216739346e-27   2.8248376623458032e-27   4.6690669507980529e-27   2.0946119642978321e-32   2.6661436835503543e-29   1.9958963810182991e-28
          62       0.0000000138630751   3.4884960812768419e-33   5.5122554815171463e-33   1.4544270885445279e-24   3.5072678676759310e-23   4.4162988780991586e-33   3.7545363092643018e-24   1.5347349793097586e-25   1.7873445733070007e-25   9.2440599519762556e-24   3.9032231517817916e-24   9.5918052319786206e-25   4.3492802472588848e-25   5.2871224598560751e-27   3.8944744674168805e-27   2.9920527049200769e-27   4.9278852901757816e-27   2.2711763029268565e-32   2.7152021045277712e-29   2.0966608666981664e-28
          63       0.0000000142165908   3.4824689452707270e-33   5.5137771821278610e-33   1.4504820491902161e-24   3.5012720883226839e-23   4.4014958632880431e-33   3.7495197742135733e-24   1.5401114029017521e-25   1.7678729029034255e-25   9.2495982535035204e-24   3.9498021691343911e-24   9.7856635695926435e-25   4.4928502653035320e-25   5.4810261388626865e-27   4.0798316680112287e-27   3.1662670745571196e-27   5.1947769910005962e-27   2.4645011082674701e-32   2.7535846561179625e-29   2.1993478993062838e-28
          64       0.0000000145707850   3.4764393731849792e-33   5.5153028469691616e-33   1.4462037179687332e-24   3.4952677415594627e-23   4.3872380476432187e-33   3.7457671034201373e-24   1.5446628949650870e-25   1.7491118585993732e-25   9.2546477573862611e-24   3.9959653603360269e-24   9.9792967282878903e-25   4.6374555283833991e-25   5.6770389792619449e-27   4.2694275925203012e-27   3.3474719909693333e-27   5.4698031676747650e-27   2.6758906018685854e-32   2.7806814082777397e-29   2.3039191208023580e-28
          65       0.0000000149252774   3.4704093120627572e-33   5.5168308445686514e-33   1.4416111823764159e-24   3.4892602569809522e-23   4.3735010765921802e-33   3.7432148295752254e-24   1.5484662835229570e-25   1.7308893425594098e-25   9.2592464594164095e-24   4.0416942884009497e-24   1.0172551344943628e-24   4.7828835712192174e-25   5.8748838364759155e-27   4.4629581342446271e-27   3.5354866595644039e-27   5.7527823185141259e-27   2.9065110884964039e-32   2.7959197561086909e-29   2.4102500478512604e-28
          66       0.0000000152800867   3.4643755978808822e-33   5.5183612599186744e-33   1.4367183473373829e-24   3.4832484926777713e-23   4.3602420016268762e-33   3.7417929813314398e-24   1.5516167304982430e-25   1.7130863450042612e-25   9.2634335097636437e-24   4.0870199842221962e-24   1.0365480621928674e-24   4.9290871776365379e-25   6.0745019372732684e-27   4.6603256551902912e-27   3.7303134938875454e-27   6.0438287675058940e-27   3.1578222966069730e-32   2.7988133492295680e-29   2.5183343876323560e-28
          67       0.0000000156347449   3.4583493101219853e-33   5.5198920772463196e-33   1.4315437207276828e-24   3.4772406681348275e-23   4.3474026456008450e-33   3.7414347841789620e-24   1.5541151905323504e-25   1.6956281765758943e-25   9.2672374252635666e-24   4.1319115707123006e-24   1.0557879149280305e-24   5.0758262703259838e-25   6.2755682597345401e-27   4.8611608108701270e-27   3.9316681566369389e-27   6.3426398130305816e-27   3.4309672897230895e-32   2.7889348454048834e-29   2.6280172942120422e-28
          68       0.0000000159892416   3.4523252892765453e-33   5.5214232504732473e-33   1.4261026002538867e-24   3.4712365771545068e-23   4.3349750586080904e-33   3.7420695079657904e-24   1.5560880619705260e-25   1.6784511148121165e-25   9.2706919462582252e-24   4.1763890000025515e-24   1.0749773272823783e-24   5.2230469357065853e-25   6.4780164073473516e-27   5.0653382973640875e-27   4.1394911738949771e-27   6.6492692814110572e-27   3.7274438160748184e-32   2.7659485726294214e-29   2.7392851360650133e-28
          69       0.0000000163436348   3.4463096042047903e-33   5.5229550289894831e-33   1.4204214478713863e-24   3.4652345870852479e-23   4.3228691300500979e-33   3.7436242435659807e-24   1.5577225001832917e-25   1.6615909855768496e-25   9.2738677986550806e-24   4.2204331300851197e-24   1.0941145113614877e-24   5.3706842594433911e-25   6.6818211912009499e-27   5.2727351210026809e-27   4.3537143337111134e-27   6.9638009548680459e-27   4.0488858769569659e-32   2.7297338821484896e-29   2.8521568787678563e-28
          70       0.0000000166979811   3.4402993726101888e-33   5.5244876473173549e-33   1.4145425129399097e-24   3.4592348226055605e-23   4.3110643662063248e-33   3.7460213792461378e-24   1.5590457204024316e-25   1.6452166828918709e-25   9.2768949488828481e-24   4.2639461445536168e-24   1.1131971151816965e-24   5.5186145975406181e-25   6.8870315840378743e-27   5.4831704727944720e-27   4.5741558495193313e-27   7.2862207189334539e-27   4.3970206364641773e-32   2.6806623321005346e-29   2.9666644505535559e-28
          71       0.0000000170522934   3.4342905636869145e-33   5.5260211423546948e-33   1.4085214460823647e-24   3.4532374075540895e-23   4.2995590922588281e-33   3.7491742297206300e-24   1.5601508592625774e-25   1.6295854041121229e-25   9.2799367350598233e-24   4.3067805803101500e-24   1.1322204644253897e-24   5.6666862167064332e-25   7.0937822787014504e-27   5.6964037288030638e-27   4.8004705254406686e-27   7.6163099755269939e-27   4.7735798165865086e-32   2.6196761832081475e-29   3.0828211152424488e-28
#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
           0       0.0000000000000000   5.4795684675503150e-33   5.4795684675503150e-33   1.3237474840396952e-24   3.7145718272934870e-23   5.4795684675503150e-33   5.2949899250150634e-24   5.4795684675503150e-33   3.5299933180128180e-25   7.9424848856652645e-24   2.1179959722348257e-24   3.5299933180128180e-25   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33
#   COLUMN 1                        2                        3                        4                        5                        6                        7                        8                        9                       10                       11                       12                       13                       14                       15                       16                       17                       18                       19                       20                       21
#   TIMESTEP                     TIME                  Mass H1                 Mass He3                 Mass He4                 Mass C12                 Mass N14                 Mass O16                Mass Ne20                Mass Mg24                Mass Si28                 Mass S32                Mass Ar36                Mass Ca40                Mass Ti44                Mass Cr48                Mass Fe52                Mass Fe54                Mass Ni56                   Mass n                   Mass p
           0       0.0000000000000000   5.4795684675503150e-33   5.4795684675503150e-33   1.3237474840396952e-24   3.7145718272934870e-23   5.4795684675503150e-33   5.2949899250150634e-24   5.4795684675503150e-33   3.5299933180128180e-25   7.9424848856652645e-24   2.1179959722348257e-24   3.5299933180128180e-25   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33   5.4795684675503150e-33
           1       0.0000000000552055   5.4711630592754575e-33   5.4798162661111695e-33   1.3165224077850459e-24   3.7148232380066048e-23   5.5166825622025490e-33   5.2930454818843811e-24   2.4213598166164271e-27   3.4501552168870818e-25   7.9250267510343925e-24   2.1372774799199644e-24   3.6437853987693136e-25   1.5699140370735686e-27   5.3818633583814505e-31   5.7670243292109845e-33   5.4810877579553584e-33   5.4825341709454065e-33   5.4776953265763469e-33   5.4798239820558000e-33   5.4799243594023713e-33
           2       0.0000000001131712   5.4645589791272943e-33   5.4800764290838599e-33   1.3089539543543138e-24   3.7150865727608814e-23   5.5402352363998132e-33   5.2910117553454938e-24   4.9112830275871820e-27   3.3688692584016855e-25   7.9065393375240808e-24   2.1573277518843300e-24   3.7640384123068461e-25   3.2705612770633228e-27   2.1467883795571032e-30   7.5774551854067133e-33   5.4837734809964687e-33   5.4857042967471370e-33   5.4756772844715017e-33   5.4800922726954185e-33   5.4803001253937389e-33
           3       0.0000000001740352   5.4593669022175858e-33   5.4803495716232539e-33   1.3010261045635785e-24   3.7153624305890404e-23   5.5529471011451872e-33   5.2888851762711992e-24   7.4681109073696854e-27   3.2862633080332232e-25   7.8869618800831115e-24   2.1781639796251006e-24   3.8911468589039418e-25   5.1147195962428224e-27   5.0440280101126228e-30   1.2822267448464611e-32   5.4906786735682694e-33   5.4890986517733262e-33   5.4734993002081305e-33   5.4803739782298508e-33   5.4806971142308678e-33
           4       0.0000000002379425   5.4552269832416599e-33   5.4806363401777636e-33   1.2927224227569026e-24   3.7156515340674556e-23   5.5573421150911569e-33   5.2866621647782021e-24   1.0089439456917522e-26   3.2024617410098456e-25   7.8662340337364353e-24   2.1998023081259093e-24   4.0255107604116299e-25   7.1158116192224680e-27   9.4660385546802864e-30   2.4073553160783485e-32   5.5081550343440836e-33   5.4927398780737865e-33   5.4711458878198430e-33   5.4806697694363892e-33   5.4811168104429660e-33
           5       0.0000000003050451   5.4518070181976301e-33   5.4809374140446090e-33   1.2840265607017618e-24   3.7159547460318033e-23   5.5557633486103483e-33   5.2843392757000203e-24   1.2771435665410759e-26   3.1176112169068393e-25   7.8442955289947761e-24   2.2222550606453475e-24   4.1675353796498224e-25   9.2883562761032111e-27   1.5685152130151438e-29   4.4744543859000869e-32   5.5475712555273830e-33   5.4966565705313317e-33   5.4686005914337878e-33   5.4809803506073723e-33   5.4815609513084114e-33
           6       0.0000000003755028   5.4488049012183895e-33   5.4812535066575688e-33   1.2749218904605665e-24   3.7162729990544948e-23   5.5503530230376622e-33   5.2819131124185026e-24   1.5509528873634905e-26   3.0318751198826513e-25   7.8210851663871861e-24   2.2455317083451100e-24   4.3176397579660590e-25   1.1648185292104127e-26   2.4015173920059142e-29   7.9310716468731293e-32   5.6277247216344346e-33   5.5008885787229063e-33   5.4658451548904792e-33   5.4813064612114668e-33   5.4820317248179816e-33
           7       0.0000000004494834   5.4460085817023494e-33   5.4815853669411705e-33   1.2653911732545989e-24   3.7166073221980223e-23   5.5426281469984992e-33   5.2793802670811589e-24   1.8298265606421135e-26   2.9454304977634821e-25   7.7965402824360495e-24   2.2696392858173861e-24   4.4762617957651976e-25   1.4212639340590465e-26   3.4817648572747016e-29   1.3358446165902964e-31   5.7781923410265939e-33   5.5054944366167253e-33   5.4628592450729181e-33   5.4816488776216495e-33   5.4825320465119069e-33
           8       0.0000000005271630   5.4432882545161802e-33   5.4819337810313675e-33   1.2554168157027412e-24   3.7169588246438190e-23   5.5335310651262654e-33   5.2767373700091525e-24   2.1131437242577514e-26   2.8584693878232515e-25   7.7705975846408826e-24   2.2945815669623061e-24   4.6438535720523838e-25   1.7000634893980473e-26   4.8508155550105945e-29   2.1504819311355093e-31   6.0439276356651161e-33   5.5105624513936332e-33   5.4596206252819302e-33   5.4820084149104716e-33   5.4830659719038423e-33
           9       0.0000000006087266   5.4404966244678190e-33   5.4822995741189560e-33   1.2449808399551501e-24   3.7173286141664223e-23   5.5241316110557403e-33   5.2739810760437377e-24   2.4002769818654175e-26   2.7711963356869973e-25   7.7431930039759355e-24   2.3203591723177076e-24   4.8208841801778999e-25   2.0032849174304629e-26   6.5564034372482854e-29   3.3326932834048741e-31   6.4915560377197793e-33   5.5162289918842388e-33   5.4561046227849323e-33   5.4823859287434493e-33   5.4836393756516051e-33
          10       0.0000000006943684   5.4375377292534554e-33   5.4826836121584878e-33   1.2340649676605957e-24   3.7177177851645257e-23   5.5151426519623496e-33   5.2711080865216384e-24   2.6906014423808793e-26   2.6838281248226714e-25   7.7142622030304333e-24   2.3469690680359511e-24   5.0078379584340343e-25   2.3331851714409622e-26   8.6532909159475485e-29   5.0041061108560725e-31   7.2179374017060410e-33   5.5227060443181046e-33   5.4522838411004506e-33   5.4827823172957071e-33   5.4842609739816761e-33
          11       0.0000000007842923   5.4344848014360863e-33   5.4830868038527011e-33   1.2226506860837169e-24   3.7181273041564433e-23   5.5060895543863431e-33   5.2681151348032935e-24   2.9835883264112209e-26   2.5965917896995157e-25   7.6837407110004347e-24   2.3744045502666803e-24   5.2052151931142466e-25   2.6922281838970749e-26   1.1204231629436452e-28   7.3185698625301759e-31   8.3617451038926494e-33   5.5303229514374324e-33   5.4481278545841722e-33   5.4831985232873808e-33   5.4849438725387265e-33
          12       0.0000000008787124   5.4315846742326001e-33   5.4835101030261949e-33   1.2107194108294060e-24   3.7185581217959987e-23   5.4952823499681917e-33   5.2649990634488325e-24   3.2787069924864462e-26   2.5097260069280878e-25   7.6515651932558351e-24   2.4026541238834068e-24   5.4135249675131410e-25   3.0830907894255031e-26   1.4280953845396646e-28   1.0469694519711005e-30   1.0118976839670373e-32   5.5395886191935397e-33   5.4436031282340998e-33   5.4836355360267537e-33   5.4857078722969321e-33
          13       0.0000000009778535   5.4287522698253482e-33   5.4839545108237662e-33   1.1982525902937392e-24   3.7190112006918846e-23   5.4833550330307675e-33   5.2617568899803904e-24   3.5754072855088295e-26   2.4234792329029104e-25   7.6176743329882225e-24   2.4317007584121156e-24   5.6332817267129167e-25   3.5086758258382276e-26   1.7965352110646404e-28   1.4700238367257483e-30   1.2763835309594365e-32   5.5512849774085163e-33   5.4386723673548027e-33   5.4840943935319863e-33   5.4865829331005167e-33
          14       0.0000000010819516   5.4258781858390057e-33   5.4844210779264033e-33   1.1852315131583678e-24   3.7194874204197386e-23   5.4711139112303105e-33   5.2583857694721750e-24   3.8731975364296420e-26   2.3381047774094035e-25   7.5820084669194473e-24   2.4615225762961915e-24   5.8650085405870857e-25   3.9721373823677452e-26   2.2350816117418416e-28   2.0313498834235049e-30   1.6676562712868743e-32   5.5666045454405128e-33   5.4332940517451868e-33   5.4845761846654926e-33   5.4876142707308404e-33
          15       0.0000000011912547   5.4229681607141806e-33   5.4849109069821781e-33   1.1716369962247843e-24   3.7199878593570326e-23   5.4585609444628814e-33   5.2548830137459176e-24   4.1714138588275798e-26   2.2538596102341714e-25   7.5445102959104213e-24   2.4920924205134530e-24   6.1092322495992212e-25   4.4768927206099253e-26   2.7543589464369241e-28   2.7686999123398281e-30   2.2380351782543800e-32   5.5873517420476752e-33   5.4274221481967989e-33   5.4850820512878306e-33   5.4888698148849641e-33
          16       0.0000000013060229   5.4200692245871513e-33   5.4854251556220986e-33   1.1574501961011836e-24   3.7205136443552102e-23   5.4454112893987155e-33   5.2512462471869710e-24   4.4693529962281721e-26   2.1710036832584202e-25   7.5051269983854802e-24   2.5233761676720491e-24   6.3664719990304679e-25   5.0266228909045012e-26   3.3664228454664046e-28   3.7289109758100169e-30   3.0590268897294209e-32   5.6162372178218331e-33   5.4210056195690805e-33   5.4856131904151303e-33   5.4904511124330952e-33
          17       0.0000000014265295   5.4171008188286569e-33   5.4859650390668014e-33   1.1426528346573811e-24   3.7210658544096779e-23   5.4322783974424069e-33   5.2474734604217953e-24   4.7663514115401592e-26   2.0897966067023226e-25   7.4638109969628087e-24   2.5553326004508644e-24   6.6372339545593613e-25   5.6252852802739924e-26   4.0849216572796621e-28   4.9699144134404989e-30   4.2277808080620958e-32   5.6573046576904802e-33   5.4139878613104144e-33   5.4861708563235972e-33   5.4925091369169788e-33
          18       0.0000000015530614   5.4140148251318912e-33   5.4865318326373100e-33   1.1272270502218494e-24   3.7216456270622157e-23   5.4195519566446106e-33   5.2435630082430899e-24   5.0617133820387904e-26   2.0104932513874335e-25   7.4205202938956788e-24   2.5879135905273874e-24   6.9220074846191629e-25   6.2771256125370318e-26   4.9252634383060342e-28   6.5631368347432344e-30   5.8755650835136656e-32   5.7165445040037884e-33   5.4063061914729313e-33   5.4867563626009098e-33   5.4952670209744206e-33
          19       0.0000000016859200   5.4108756101960435e-33   5.4871268749840789e-33   1.1111565498980570e-24   3.7222538988389437e-23   5.4068329754367536e-33   5.2395137965322392e-24   5.3549286034479684e-26   1.9333424485675081e-25   7.3752213581093708e-24   2.6210622400192568e-24   7.2212483963765631e-25   6.9866650856384024e-26   5.9047716811854949e-28   8.5963435116536551e-30   8.1788329641439154e-32   5.8027753263541597e-33   5.3978914165267377e-33   5.4873710840855417e-33   5.4990527014882423e-33
          20       0.0000000018254215   5.4075995027782528e-33   5.4877515712970139e-33   1.0944263334364440e-24   3.7228914640863625e-23   5.3947576663565009e-33   5.2353252317446436e-24   5.6456256578632674e-26   1.8585816877969791e-25   7.3278889103832955e-24   2.6547143594630428e-24   7.5353731454367335e-25   7.7587067091011058e-26   7.0428451613953158e-28   1.1177016967943698e-29   1.1373639728489029e-31   5.9289018923128206e-33   5.3886673337767012e-33   5.4880164586764547e-33   5.5043455164853544e-33
          21       0.0000000019718980   5.4042519223120106e-33   5.4884073965813601e-33   1.0770231723678994e-24   3.7235588428174396e-23   5.3829238525226981e-33   5.2309973179698243e-24   5.9336942596350592e-26   1.7864324451209809e-25   7.2785070314660558e-24   2.6887980157355579e-24   7.8647527566291192e-25   8.5983310256232214e-26   8.3611124703370946e-28   1.4436313071487260e-29   1.5774294445826353e-31   6.1137002147601589e-33   5.3785502761672206e-33   5.4886939889928164e-33   5.5118423195315602e-33
          22       0.0000000021256984   5.4007842291679333e-33   5.4890958992026966e-33   1.0589357332073295e-24   3.7242565821452877e-23   5.3717348742513117e-33   5.2265307895218798e-24   6.2190381499480674e-26   1.7170981041760912e-25   7.2270711407799757e-24   2.7232331188408544e-24   8.2096939307204475e-25   9.5108713364703036e-26   9.8835536895967362e-28   1.8533650684980624e-29   2.1797342226077874e-31   6.3843362660415621e-33   5.3674487730622012e-33   5.4894052438728516e-33   5.5225507668042542e-33
          23       0.0000000022871887   5.3971659761572802e-33   5.4898187045086026e-33   1.0401547003402654e-24   3.7249855611013335e-23   5.3614660826754348e-33   5.2219272215442494e-24   6.5013412093503943e-26   1.6507609751193787e-25   7.1735899927883599e-24   2.7579307322144986e-24   8.5704228931692912e-25   1.0501882404455976e-25   1.1636596153252015e-27   2.3661988971683324e-29   2.9992211932236287e-31   6.7798989601128128e-33   5.3552633562805717e-33   5.4901518597708178e-33   5.5379201695376370e-33
          24       0.0000000024567536   5.3934113560217185e-33   5.4905775188461947e-33   1.0206757055600504e-24   3.7257454851157338e-23   5.3520764489663807e-33   5.2171891145528575e-24   6.7813240957362580e-26   1.5875767261328298e-25   7.1180870224168650e-24   2.7927944114606954e-24   8.9470646234163448e-25   1.1577086328065384e-25   1.3649112274523515e-27   3.0053763855852704e-29   4.1080051687360256e-31   7.3563228851178490e-33   5.3418866833282460e-33   5.4909355421898398e-33   5.5600238187348933e-33
          25       0.0000000026347968   5.3894831683864637e-33   5.4913741335703076e-33   1.0004961803402912e-24   3.7265368804816311e-23   5.3438912231880934e-33   5.2123199351933721e-24   7.0590892551974966e-26   1.5276713271932728e-25   7.0606004625790393e-24   2.8277210409153348e-24   9.3396369845489538e-25   1.2742341382182713e-25   1.5952396059777956e-27   3.7987493344183873e-29   5.6002500902466843e-31   8.1931978528502797e-33   5.3272040297549462e-33   5.4917580674435216e-33   5.5918111923084499e-33
          26       0.0000000028217421   5.3853987632277280e-33   5.4922104293995755e-33   9.7961839176760740e-25   3.7273598873878123e-23   5.3368579110221654e-33   5.2073242703364014e-24   7.3351473439667941e-26   1.4711392014006185e-25   7.0011856749673235e-24   2.8626009497444115e-24   9.7480234924878982e-25   1.4003555089116752e-25   1.8579988543238189e-27   4.7794885417137852e-29   7.5982248128133017e-31   9.4031113046661247e-33   5.3110943453952815e-33   5.4926212853138868e-33   5.6374539726070003e-33
          27       0.0000000030180347   5.3811265383909478e-33   5.4930883810278531e-33   9.5804972902235229e-25   3.7282147169141156e-23   5.3312637701477239e-33   5.2022080227670321e-24   7.6100401064936484e-26   1.4180429559433787e-25   6.9399177467390135e-24   2.8973181144918980e-24   1.0171944311351169e-24   1.5366575984381759e-25   2.1567358341525316e-27   5.9868310915750233e-29   1.0259737266014573e-30   1.1144351306012037e-32   5.2934320208524624e-33   5.4935271237192825e-33   5.7028165321891223e-33
          28       0.0000000032241419   5.3766667218609754e-33   5.4940100620444177e-33   9.3580431921362789e-25   3.7291010194494176e-23   5.3271761840041770e-33   5.1969784490788413e-24   7.8848873979524389e-26   1.3684091934129910e-25   6.8768917888466570e-24   2.9317524902508565e-24   1.0610938435564131e-24   1.6837078971954694e-25   2.4951402618949475e-27   7.4668311103976108e-29   1.3787122335882730e-30   1.3637998781918777e-32   5.2740894851574425e-33   5.4944775972602077e-33   5.7960889879464844e-33
          29       0.0000000034405544   5.3720329482704983e-33   5.4949776500267997e-33   9.1290252339755339e-25   3.7300186280639249e-23   5.3245679061381249e-33   5.1916442353601836e-24   8.1607753755442636e-26   1.3222288546186894e-25   6.8122237108676142e-24   2.9657816602760638e-24   1.1064344318277305e-24   1.8420435796436989e-25   2.8769744608428913e-27   9.2730635688498394e-29   1.8437910040250277e-30   1.7190649441783874e-32   5.2529409950898957e-33   5.4954748227423986e-33   5.9286287692058435e-33
          30       0.0000000036677876   5.3671531873509885e-33   5.4959934318320505e-33   8.8937351963156450e-25   3.7309666072948715e-23   5.3240049089810730e-33   5.1862156077824293e-24   8.4395515847140806e-26   1.2794583913401842e-25   6.7460516390323575e-24   2.9992827956172121e-24   1.1531272682433879e-24   2.0121539071282502e-25   3.3059717112040402e-27   1.1467200959418811e-28   2.4537192895568782e-30   2.2224190085712600e-32   5.2298682008773510e-33   5.4965210468805812e-33   6.1160634713933015e-33
          31       0.0000000039063825   5.3620435761929093e-33   5.4970598095933935e-33   8.6525477653482372e-25   3.7319440444197775e-23   5.3254377746240767e-33   5.1807043779096500e-24   8.7231829489213755e-26   1.2400198185642866e-25   6.6785359653769448e-24   3.0321352590460628e-24   1.2010589743641237e-24   2.1944621238185180e-25   3.7857062828793415e-27   1.4119376985247223e-28   3.2491571038798572e-30   2.9314191004213112e-32   5.2047673995189855e-33   5.4976186947853216e-33   6.3797128450402211e-33
          32       0.0000000041569071   5.3566968134401449e-33   5.4981793067427084e-33   8.4059409844107893e-25   3.7329493197040554e-23   5.3289731497925193e-33   5.1751239593739139e-24   9.0143728022917936e-26   1.2038032982883365e-25   6.6098595767566635e-24   3.0642233710601473e-24   1.2500898607583857e-24   2.3893043997313851e-25   4.3194290283149622e-27   1.7308225331113187e-28   4.2804324949454158e-30   3.9238463165622949e-32   5.1775586886833988e-33   5.4987704529405866e-33   6.7483872928890239e-33
          33       0.0000000044199579   5.3510793391144872e-33   5.4993545742197294e-33   8.1544967329852531e-25   3.7339805257975969e-23   5.3348957324776431e-33   5.1694893771309777e-24   9.3161943815758182e-26   1.1706765086768853e-25   6.5402272376054823e-24   3.0954391689640068e-24   1.3000525996926941e-24   2.5969090797783692e-25   4.9098703475155154e-27   2.1120441227174116e-28   5.6091095957566598e-30   5.3037049499338739e-32   5.1481976779937082e-33   5.4999794077224977e-33   7.2606099075588507e-33
          34       0.0000000046961613   5.3451683424788044e-33   5.5005883982332120e-33   7.8989223377604398e-25   3.7350346344127687e-23   5.3434052763683936e-33   5.1638171826411051e-24   9.6328439679502269e-26   1.1404765225879961e-25   6.4698655220799525e-24   3.1256865784886889e-24   1.3507509251937877e-24   2.8173672657767738e-25   5.5589910860343948e-27   2.5649671167094167e-28   7.3094879024868844e-30   7.2084241456179658e-32   5.1166891907834227e-33   5.5012492719096171e-33   7.9672839778257754e-33
