                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
    7.645971555649095e-09        109132985743.5784   -8.969857673996183e+18        39.08301218599081                        0                        0                        0    1.433820206660722e+20    5.334080537974297e+27    5.405627259892321e+28    5.939035313689789e+28
    7.986199598950579e-09        109164297610.8595   -8.857157082373971e+18        -2.47341525455704                        0                        0                        0    1.415653188852173e+20    5.372508155839738e+27    5.418637186357903e+28    5.955888001941865e+28
    8.326082945034379e-09        109195577754.9663   -8.744510990686306e+18        54.01571510272333                        0                        0                        0    1.397512579010686e+20    5.410996719121263e+27    5.431239036923287e+28    5.972338708835392e+28
    8.665911004109419e-09        109226852810.8991    -8.63186828819782e+18        -2.38057509995997                        0                        0                        0    1.379388116196209e+20    5.449537013748095e+27    5.443506938686695e+28    5.988460640061482e+28
    9.006004647788262e-09        109258152309.1141   -8.519060013024698e+18        11.53962972946465                        0                        0                        0    1.361253193611449e+20    5.488219553196599e+27    5.455493687013461e+28    6.004315642333136e+28
    9.346644097580303e-09        109289502038.9574   -8.406005482184876e+18        24.54851731099188                        0                        0                        0    1.343098235539936e+20    5.527254378872647e+27    5.467222330827644e+28      6.0199477687149e+28
    9.688078972078771e-09        109320924973.3273   -8.292603474215247e+18        22.38270058855414                        0                        0                        0    1.324908126120558e+20    5.566304273259529e+27    5.478761673951343e+28    6.035392101277252e+28
      1.0030443128418e-08        109352433431.3636   -8.178800467814303e+18        20.16184091567993                        0                        0                        0    1.306671881443562e+20    5.605656828649332e+27    5.490111004574081e+28    6.050676687438985e+28
    1.037379249979414e-08          109384032560.71   -8.064569854155012e+18        14.85321104153991                        0                        0                        0    1.288383751459492e+20    5.645222505891436e+27    5.501305446247209e+28    6.065827696836398e+28
    1.071823442376199e-08        109415732239.8565   -7.949862546708651e+18        17.50234046950936                        0                        0                        0    1.270038222571034e+20    5.685036625151001e+27    5.512367890360594e+28    6.080871552875714e+28
    1.106383054795856e-08        109447538142.3586   -7.834641585303566e+18        13.14451074227691                        0                        0                        0    1.251631000673622e+20     5.72515837903112e+27    5.523314263474113e+28    6.095830101377208e+28
    1.141045983925047e-08        109479439129.2948   -7.718985898436361e+18        12.16481060534716                        0                        0                        0    1.233172984547285e+20    5.765653886935116e+27    5.534148630979244e+28    6.110714019672699e+28
     1.17581086708488e-08        109511433946.5645   -7.602865045233289e+18        29.63846111297607                        0                        0                        0    1.214657788076841e+20    5.806539770674812e+27    5.544884405468235e+28    6.125538382535698e+28
    1.210668712081349e-08        109543514318.4716   -7.486318093045475e+18       -4.710480213165283                        0                        0                        0    1.196092997759877e+20    5.847789891842616e+27    5.555535413802016e+28      6.1403144029863e+28
     1.24562170208723e-08        109575682254.2338   -7.369328403954434e+18       -3.817008972167969                        0                        0                        0    1.177475929023056e+20    5.889360925285672e+27    5.566118753353434e+28    6.155054845881998e+28
    1.280673069644789e-08        109607940728.8244   -7.251890333068726e+18       -1.895153045654297                        0                        0                        0    1.158802627187658e+20    5.931287224056729e+27     5.57664325094884e+28    6.169771973354467e+28
    1.315820791948268e-08        109640287880.6147   -7.134002158168373e+18       -10.47531509399414                        0                        0                        0    1.140070687958894e+20    5.973538080706317e+27    5.587119926871451e+28    6.184473734942062e+28
    1.351032903769085e-08        109672694291.3657   -7.015777829129892e+18       -8.116718292236328                        0                        0                        0    1.121298290538813e+20    6.016022591128309e+27    5.597551837839252e+28    6.199154096952129e+28
    1.386307505164462e-08        109705158212.5219   -6.897219181408809e+18       -46.10659074783325                        0                        0                        0    1.102486342074406e+20    6.058694882185513e+27    5.607949239055238e+28    6.213818727273813e+28
    1.421659082826673e-08         109737692976.476   -6.778280445096643e+18        1.058272361755371                        0                        0                        0    1.083627316807217e+20    6.101574956701528e+27    5.618321100435725e+28    6.228478596105864e+28
    1.457078500149412e-08        109770290174.6264   -6.658991570061095e+18        14.45291519165039                        0                        0                        0    1.064724369371197e+20     6.14468326095078e+27    5.628665514377011e+28    6.243133840472039e+28
    1.492527738768017e-08        109802914817.9118    -6.53948195379541e+18        13.12117767333984                        0                        0                        0    1.045795016748715e+20    6.187940225784739e+27    5.638978772485789e+28    6.257772795064245e+28
    1.528008665892203e-08        109835568624.7628   -6.419746308783804e+18       -7.288774013519287                        0                        0                        0    1.026834730554593e+20    6.231316142820719e+27     5.64926829875466e+28    6.272399913036728e+28
    1.563474493911893e-08        109868208535.6059   -6.299943930970332e+18        44.77191829681396                        0                        0                        0    1.007864154172665e+20    6.274743277973167e+27    5.659524726512862e+28    6.286999054310171e+28
    1.598924157268032e-08        109900833569.7858   -6.180079941384739e+18        66.82936471700668                        0                        0                        0    9.888806710425169e+19    6.318181623972594e+27    5.669753954554776e+28    6.301572116951993e+28
    1.634363483194172e-08        109933449090.2222    -6.06013648794114e+18       -22.86225318908691                        0                        0                        0    9.698805928465362e+19    6.361516693756503e+27    5.679968064113397e+28    6.316119733489029e+28
    1.669798106768809e-08        109966060282.9904   -5.940096727969825e+18        61.90573573112488                        0                        0                        0    9.508619790449132e+19    6.404509344487007e+27    5.690185228315223e+28    6.330636162763929e+28
    1.705229336284142e-08         109998668352.138   -5.819957474222455e+18         62.2844614982605                        0                        0                        0    9.318245988565544e+19    6.446823838615548e+27    5.700428775396286e+28    6.345111159257885e+28
                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
                        0        108429311689.3689   -1.130031621482801e+19                        0                        0                        0                        0    1.809621435948105e+20    4.466558710294245e+27    3.405269630685325e+28    3.851925501714571e+28
                     time                     mass                     xmom                     ymom                     zmom                ang mom x                ang mom y                ang mom z                    rho_K                    rho_e                    rho_E
                        0        108429311689.3689   -1.130031621482801e+19                        0                        0                        0                        0    1.809621435948105e+20    4.466558710294245e+27    3.405269630685325e+28    3.851925501714571e+28
    5.520546737756456e-11        108434392358.9426   -1.129309639322051e+19     -0.09686286818880063                        0                        0                        0    1.808466229142532e+20    4.465334322150738e+27    3.408074024273176e+28    3.854607456488301e+28
