# Analytic Sedov solution at t = 0.01 for a spherical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 512
#      eblast = 1.0
#      xgeom  = 3.0q0
#      omega  = 0.0q0
#      outfile = 'spherical_sedov.dat'
#
#      time   = 0.01q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
   58  1.347656E-01  5.059205E-01  7.381234E+01  1.493727E+01  3.959017E+00  6.429223E+00
   59  1.371094E-01  5.924560E-01  6.462672E+01  1.531540E+01  4.047494E+00  6.015893E+00
   60  1.394531E-01  6.956891E-01  5.667263E+01  1.577061E+01  4.139718E+00  5.633531E+00
   61  1.417969E-01  8.198786E-01  4.976579E+01  1.632076E+01  4.236231E+00  5.279095E+00
   62  1.441406E-01  9.707574E-01  4.375154E+01  1.698885E+01  4.337625E+00  4.949834E+00
   63  1.464844E-01  1.156178E+00  3.849956E+01  1.780494E+01  4.444534E+00  4.643248E+00
   64  1.488281E-01  1.387098E+00  3.389967E+01  1.880887E+01  4.557622E+00  4.357042E+00
   65  1.511719E-01  1.679124E+00  2.985827E+01  2.005430E+01  4.677557E+00  4.089087E+00
   66  1.535156E-01  2.054986E+00  2.629550E+01  2.161475E+01  4.804987E+00  3.837380E+00
   67  1.558594E-01  2.548619E+00  2.314291E+01  2.359298E+01  4.940495E+00  3.600004E+00
   68  1.582031E-01  3.212144E+00  2.034148E+01  2.613591E+01  5.084553E+00  3.375090E+00
   69  1.605469E-01  4.128227E+00  1.784010E+01  2.945919E+01  5.237466E+00  3.160768E+00
   70  1.628906E-01  5.433003E+00  1.559425E+01  3.388945E+01  5.399327E+00  2.955128E+00
   71  1.652344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   72  1.675781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   73  1.699219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   74  1.722656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   75  1.746094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   76  1.769531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   77  1.792969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   78  1.816406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   79  1.839844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   80  1.863281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   81  1.886719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   82  1.910156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   83  1.933594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   84  1.957031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   85  1.980469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   86  2.003906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   87  2.027344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   88  2.050781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   89  2.074219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   90  2.097656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   91  2.121094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   92  2.144531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   93  2.167969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   94  2.191406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   95  2.214844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   96  2.238281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   97  2.261719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   98  2.285156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
   99  2.308594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  100  2.332031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  101  2.355469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  102  2.378906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  103  2.402344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  104  2.425781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  105  2.449219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  106  2.472656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  107  2.496094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  108  2.519531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
