# Analytic Sedov solution at t = 0.01 for a spherical geometry with
# gamma = 1.4.  This was created using Frank Timmes' sedov3.f routine
# from http://www.cococubed.com/code_pages/sedov.shtml
#
# The following parameters were set:
#      nstep = 512
#      eblast = 1.0
#      xgeom  = 3.0q0
#      omega  = 0.0q0
#      outfile = 'spherical_sedov.dat'
#
#      time   = 0.01q0
#      rho0   = 1.0q0
#      vel0   = 0.0q0
#      ener0  = 0.0q0
#      pres0  = 0.0q0
#      cs0    = 0.0q0
#      gamma  = 1.4q0
#   i   x             den           ener          pres          vel           cs
  246  5.753906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  247  5.777344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  248  5.800781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  249  5.824219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  250  5.847656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  251  5.871094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  252  5.894531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  253  5.917969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  254  5.941406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  255  5.964844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  256  5.988281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  257  6.011719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  258  6.035156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  259  6.058594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  260  6.082031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  261  6.105469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  262  6.128906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  263  6.152344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  264  6.175781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  265  6.199219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  266  6.222656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  267  6.246094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  268  6.269531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  269  6.292969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  270  6.316406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  271  6.339844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  272  6.363281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  273  6.386719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  274  6.410156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  275  6.433594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  276  6.457031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  277  6.480469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  278  6.503906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  279  6.527344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  280  6.550781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  281  6.574219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  282  6.597656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  283  6.621094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  284  6.644531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  285  6.667969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  286  6.691406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  287  6.714844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  288  6.738281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  289  6.761719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  290  6.785156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  291  6.808594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  292  6.832031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  293  6.855469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  294  6.878906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  295  6.902344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  296  6.925781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  297  6.949219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  298  6.972656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  299  6.996094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  300  7.019531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  301  7.042969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  302  7.066406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  303  7.089844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  304  7.113281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  305  7.136719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  306  7.160156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  307  7.183594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  308  7.207031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  309  7.230469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  310  7.253906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  311  7.277344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  312  7.300781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  313  7.324219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  314  7.347656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  315  7.371094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  316  7.394531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  317  7.417969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  318  7.441406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  319  7.464844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  320  7.488281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  321  7.511719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  322  7.535156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  323  7.558594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  324  7.582031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  325  7.605469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  326  7.628906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  327  7.652344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  328  7.675781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  329  7.699219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  330  7.722656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  331  7.746094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  332  7.769531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  333  7.792969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  334  7.816406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  335  7.839844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  336  7.863281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  337  7.886719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  338  7.910156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  339  7.933594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  340  7.957031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  341  7.980469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  342  8.003906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  343  8.027344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  344  8.050781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  345  8.074219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  346  8.097656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  347  8.121094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  348  8.144531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  349  8.167969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  350  8.191406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  351  8.214844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  352  8.238281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  353  8.261719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  354  8.285156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  355  8.308594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  356  8.332031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  357  8.355469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  358  8.378906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  359  8.402344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  360  8.425781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  361  8.449219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  362  8.472656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  363  8.496094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  364  8.519531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  365  8.542969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  366  8.566406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  367  8.589844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  368  8.613281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  369  8.636719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  370  8.660156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  371  8.683594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  372  8.707031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  373  8.730469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  374  8.753906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  375  8.777344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  376  8.800781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  377  8.824219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  378  8.847656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  379  8.871094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  380  8.894531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  381  8.917969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  382  8.941406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  383  8.964844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  384  8.988281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  385  9.011719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  386  9.035156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  387  9.058594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  388  9.082031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  389  9.105469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  390  9.128906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  391  9.152344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  392  9.175781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  393  9.199219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  394  9.222656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  395  9.246094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  396  9.269531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  397  9.292969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  398  9.316406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  399  9.339844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  400  9.363281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  401  9.386719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  402  9.410156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  403  9.433594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  404  9.457031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  405  9.480469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  406  9.503906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  407  9.527344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  408  9.550781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  409  9.574219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  410  9.597656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  411  9.621094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  412  9.644531E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  413  9.667969E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  414  9.691406E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  415  9.714844E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  416  9.738281E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  417  9.761719E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  418  9.785156E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  419  9.808594E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  420  9.832031E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  421  9.855469E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  422  9.878906E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  423  9.902344E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  424  9.925781E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  425  9.949219E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  426  9.972656E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  427  9.996094E-01  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  428  1.001953E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  429  1.004297E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  430  1.006641E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  431  1.008984E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  432  1.011328E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  433  1.013672E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  434  1.016016E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  435  1.018359E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  436  1.020703E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  437  1.023047E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  438  1.025391E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  439  1.027734E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  440  1.030078E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  441  1.032422E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  442  1.034766E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  443  1.037109E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  444  1.039453E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  445  1.041797E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  446  1.044141E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  447  1.046484E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  448  1.048828E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  449  1.051172E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  450  1.053516E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  451  1.055859E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  452  1.058203E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  453  1.060547E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  454  1.062891E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  455  1.065234E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  456  1.067578E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  457  1.069922E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  458  1.072266E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  459  1.074609E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  460  1.076953E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  461  1.079297E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  462  1.081641E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  463  1.083984E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  464  1.086328E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  465  1.088672E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  466  1.091016E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  467  1.093359E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  468  1.095703E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  469  1.098047E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  470  1.100391E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  471  1.102734E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  472  1.105078E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  473  1.107422E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  474  1.109766E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  475  1.112109E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  476  1.114453E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  477  1.116797E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  478  1.119141E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  479  1.121484E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  480  1.123828E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  481  1.126172E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  482  1.128516E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  483  1.130859E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  484  1.133203E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  485  1.135547E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  486  1.137891E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  487  1.140234E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  488  1.142578E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  489  1.144922E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  490  1.147266E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  491  1.149609E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  492  1.151953E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  493  1.154297E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  494  1.156641E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  495  1.158984E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  496  1.161328E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  497  1.163672E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  498  1.166016E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  499  1.168359E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  500  1.170703E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  501  1.173047E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  502  1.175391E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  503  1.177734E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  504  1.180078E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  505  1.182422E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  506  1.184766E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  507  1.187109E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  508  1.189453E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  509  1.191797E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  510  1.194141E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  511  1.196484E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
  512  1.198828E+00  1.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00  0.000000E+00
